                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0695,                 3.9619,                 1.1514,                0.00256,                   0.75,                0.21144,                0.09242,                0.91063,                 6.8823,                0.72105,                    0.1,                      0,                      0
                      2,                 1.4012,                 4.0239,                 1.2166,                 0.0034,                      1,                0.14992,                 0.0505,                0.93008,                 7.3257,                0.81441,                0.09901,              9.802e-06,              9.802e-06
                      3,                 1.0583,                 3.5591,                 1.0829,                0.00381,                      1,                0.16054,                0.03124,                 1.4695,                 7.2525,                 1.0262,               0.098019,             1.9208e-05,             1.9208e-05
                      4,                 1.1602,                 3.6821,                   1.06,                0.00696,                      1,                0.29837,                0.18844,                 1.5526,                 6.8847,                0.88723,               0.097028,             2.8218e-05,             2.8218e-05
                      5,                 0.8561,                 3.5219,                0.89888,                0.02113,                      1,                0.24434,                0.09818,                 1.3677,                 6.5785,                0.86106,               0.096037,             3.6832e-05,             3.6832e-05
                      6,                 1.6857,                 4.3017,                 1.2786,                0.00511,                   0.75,                0.33167,                0.12505,                 1.4256,                 6.6667,                0.90154,               0.095045,              4.505e-05,              4.505e-05
                      7,                  1.074,                 3.1932,                0.99147,                  0.003,                   0.75,                0.37853,                0.13952,                 1.3017,                 6.8739,                0.88591,               0.094053,             5.2872e-05,             5.2872e-05
                      8,                0.83629,                 3.0321,                0.97729,                0.00205,                    0.5,                0.37312,                0.13681,                 1.4737,                 7.3255,                  1.034,                0.09306,             6.0298e-05,             6.0298e-05
                      9,                 1.0484,                 3.4224,                 0.9757,                0.00205,                    0.5,                0.37312,                0.13681,                 1.4737,                 7.3255,                  1.034,               0.092067,             6.7328e-05,             6.7328e-05
                     10,                 1.0467,                 3.2198,                0.89674,                0.00228,                    0.5,                0.37312,                0.13681,                 1.4435,                 7.6111,                 1.0198,               0.091074,             7.3962e-05,             7.3962e-05
                     11,                 0.9593,                 3.1763,                 1.0379,                0.00228,                    0.5,                0.37312,                0.13681,                 1.4435,                 7.6111,                 1.0198,                0.09008,               8.02e-05,               8.02e-05
                     12,                 1.0584,                 3.2471,                 1.0112,                0.00162,                    0.5,                0.37312,                0.13681,                 1.5031,                 7.7214,                 1.0739,               0.089086,             8.6042e-05,             8.6042e-05
                     13,                 0.9415,                 3.0499,                0.90754,                0.00162,                    0.5,                0.37312,                0.13681,                 1.5031,                 7.7214,                 1.0739,               0.088091,             9.1488e-05,             9.1488e-05
                     14,                0.77284,                  2.658,                0.97268,                0.00147,                    0.5,                0.33167,                0.14096,                 1.3862,                 7.7934,                 1.0465,               0.087097,             9.6538e-05,             9.6538e-05
                     15,                 1.0218,                 2.7321,                0.91462,                0.00147,                    0.5,                0.33167,                0.14096,                 1.3862,                 7.7934,                 1.0465,               0.086101,             0.00010119,             0.00010119
                     16,                 1.1917,                 2.6951,                  1.032,                0.00144,                    0.5,                 0.0691,                0.03616,                 1.3396,                 7.8289,                 1.0437,               0.085105,             0.00010545,             0.00010545
                     17,                 0.8003,                 2.6178,                0.88962,                0.00144,                    0.5,                 0.0691,                0.03616,                 1.3396,                 7.8289,                 1.0437,               0.084109,             0.00010931,             0.00010931
                     18,                0.75304,                 2.3556,                0.81151,                0.00148,                    0.5,                0.04675,                 0.0187,                 1.4674,                 8.0869,                 1.0948,               0.083113,             0.00011278,             0.00011278
                     19,                 1.1114,                 2.3289,                0.96137,                0.00148,                    0.5,                0.04675,                 0.0187,                 1.4674,                 8.0869,                 1.0948,               0.082116,             0.00011585,             0.00011585
                     20,                0.72194,                  2.147,                0.82418,                0.00148,                    0.5,                0.04567,                 0.0137,                 1.5611,                 8.1549,                 1.1404,               0.081119,             0.00011852,             0.00011852
                     21,                0.97527,                 3.1226,                 1.2065,                0.00148,                    0.5,                0.04567,                 0.0137,                 1.5611,                 8.1549,                 1.1404,               0.080121,              0.0001208,              0.0001208
                     22,                  1.124,                 2.4237,                 1.0112,                0.00146,                    0.5,                0.05307,                0.01309,                 1.6268,                 8.1768,                 1.1757,               0.079123,             0.00012268,             0.00012268
                     23,                0.81815,                 1.7783,                 0.7843,                0.00146,                    0.5,                0.05307,                0.01309,                 1.6268,                 8.1768,                 1.1757,               0.078124,             0.00012417,             0.00012417
                     24,                0.94623,                 2.3549,                 1.0284,                0.00146,                    0.5,                0.05307,                0.01309,                 1.6268,                 8.1768,                 1.1757,               0.077125,             0.00012526,             0.00012526
