                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3557,                 4.4401,                  1.196,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,                  0.001,                  0.001,                  0.001
                      2,                 1.2884,                 4.4074,                 1.2843,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,               0.000802,               0.000802,               0.000802
                      3,                 1.4039,                 4.2926,                 1.3021,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,               0.000604,               0.000604,               0.000604
                      4,                 1.4473,                 4.4691,                 1.2867,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,               0.000406,               0.000406,               0.000406
                      5,                 1.1237,                 4.5456,                 1.0672,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,               0.000208,               0.000208,               0.000208
