                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0446,                 5.5383,                 3.4065,                      0,                      0,                      0,                      0,                 3.8623,                 8.5317,                 2.5587,                    0.1,                      0,                      0
                      2,                 3.0334,                 4.9777,                 2.9591,                0.00255,                    0.5,                0.00254,                0.00051,                 3.5426,                 8.9969,                 2.5807,                0.09901,              9.802e-06,              9.802e-06
                      3,                   2.97,                 5.9747,                  3.087,                0.00276,                    0.5,                0.00281,                0.00028,                  3.563,                 7.8371,                  2.557,               0.098019,             1.9208e-05,             1.9208e-05
                      4,                 3.2993,                 4.9471,                 3.1608,                0.00276,                    0.5,                0.00281,                0.00028,                  3.139,                 7.4063,                 2.1209,               0.097028,             2.8218e-05,             2.8218e-05
                      5,                  1.696,                 4.3094,                 2.1126,                0.00276,                    0.5,                0.00281,                0.00028,                 3.8382,                 7.5436,                 2.4785,               0.096037,             3.6832e-05,             3.6832e-05
                      6,                 2.2202,                 4.5037,                 2.3032,                0.00098,                    0.5,                0.00118,                0.00024,                 3.9069,                 7.5255,                 2.4963,               0.095045,              4.505e-05,              4.505e-05
                      7,                  2.607,                 4.6292,                 2.6818,                0.00083,                    0.5,                0.00802,                0.00118,                  3.694,                 7.5425,                 2.3624,               0.094053,             5.2872e-05,             5.2872e-05
                      8,                 1.9798,                 4.1893,                 2.4869,                0.00083,                    0.5,                0.03317,                0.01658,                 3.1613,                 7.2942,                 2.1748,                0.09306,             6.0298e-05,             6.0298e-05
                      9,                 2.3754,                 4.2814,                 2.5295,                0.00083,                    0.5,                0.03317,                0.01658,                 3.1613,                 7.2942,                 2.1748,               0.092067,             6.7328e-05,             6.7328e-05
                     10,                 2.5759,                 4.2703,                  2.731,                0.00083,                    0.5,                0.02618,                0.01309,                 3.1677,                 7.3426,                 2.4126,               0.091074,             7.3962e-05,             7.3962e-05
                     11,                 1.8464,                 4.1129,                 2.2613,                0.00083,                    0.5,                0.02618,                0.01309,                 3.1677,                 7.3426,                 2.4126,                0.09008,               8.02e-05,               8.02e-05
                     12,                 2.5267,                 4.1339,                 2.6984,                0.00083,                    0.5,                0.04146,                0.01508,                 2.8745,                 7.1485,                 2.3051,               0.089086,             8.6042e-05,             8.6042e-05
                     13,                 1.3854,                 3.9367,                 1.7406,                0.00083,                    0.5,                0.04146,                0.01508,                 2.8745,                 7.1485,                 2.3051,               0.088091,             9.1488e-05,             9.1488e-05
                     14,                 4.1976,                 5.6628,                 3.3637,                0.00083,                    0.5,                0.04523,                0.02035,                 2.6926,                 7.1127,                 2.2537,               0.087097,             9.6538e-05,             9.6538e-05
                     15,                 1.8227,                 3.8056,                 2.1804,                0.00083,                    0.5,                0.04523,                0.02035,                 2.6926,                 7.1127,                 2.2537,               0.086101,             0.00010119,             0.00010119
                     16,                 1.1757,                 4.7671,                 2.1118,                0.00083,                    0.5,                0.04523,                0.02261,                   2.66,                 7.2678,                 2.0985,               0.085105,             0.00010545,             0.00010545
                     17,                 1.8396,                 3.6723,                 2.2411,                0.00083,                    0.5,                0.04523,                0.02261,                   2.66,                 7.2678,                 2.0985,               0.084109,             0.00010931,             0.00010931
                     18,                 1.8512,                 3.6225,                 1.9942,                0.00083,                    0.5,                0.04146,                0.02488,                 2.4335,                 7.5257,                 1.9006,               0.083113,             0.00011278,             0.00011278
                     19,                 1.8094,                 3.9039,                 2.0203,                0.00083,                    0.5,                0.04146,                0.02488,                 2.4335,                 7.5257,                 1.9006,               0.082116,             0.00011585,             0.00011585
                     20,                 1.7573,                 4.2482,                 2.1151,                0.00083,                    0.5,                0.07107,                0.04975,                 2.1281,                 7.8045,                 1.7128,               0.081119,             0.00011852,             0.00011852
                     21,                 2.1054,                 3.8857,                 2.0542,                0.00083,                    0.5,                0.07107,                0.04975,                 2.1281,                 7.8045,                 1.7128,               0.080121,              0.0001208,              0.0001208
