                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1626,                 4.1002,                 1.2297,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,                  0.001,                  0.001,                  0.001
                      2,                 1.3629,                  4.352,                 1.2966,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009901,              0.0009901,              0.0009901
                      3,                 1.2957,                 4.0183,                 1.2685,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.3985,                 4.1585,                 1.3659,                0.01538,                      1,                0.04975,                0.03483,                 1.0407,                 7.4106,                0.81184,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.5338,                 4.2867,                 1.4392,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009604,              0.0009604,              0.0009604
                      6,                  1.627,                 4.7797,                 1.4488,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.3685,                 3.8552,                 1.1876,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2196,                 4.0147,                 1.2035,                 0.0125,                      1,                  0.995,                 0.4975,                  1.198,                  7.002,                0.81167,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1974,                 3.3502,                 1.0453,                 0.0125,                      1,                  0.995,                 0.4975,                  1.198,                  7.002,                0.81167,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.4875,                 3.5427,                 1.2042,                 0.0125,                      1,                  0.995,                 0.4975,                  1.198,                  7.002,                0.81167,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.2533,                 3.6048,                 1.1956,                 0.0125,                      1,                  0.995,                 0.4975,                  1.198,                  7.002,                0.81167,               0.000901,               0.000901,               0.000901
                     12,                 1.4672,                 3.5112,                 1.3377,                 0.0125,                      1,                  0.995,                 0.4975,                  1.198,                  7.002,                0.81167,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.3515,                 3.5852,                 1.1191,                 0.0125,                      1,                  0.995,                 0.4975,                  1.198,                  7.002,                0.81167,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1725,                 3.3777,                 1.0305,                 0.0125,                      1,                  0.995,                 0.4975,                  1.198,                  7.002,                0.81167,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1594,                 3.3984,                 1.0351,                0.01282,                      1,                  0.995,                  0.398,                  1.242,                 7.1186,                 0.8477,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.4271,                 3.9817,                 1.3163,                0.01111,                      1,                 0.4975,                0.14925,                 1.4587,                 8.3927,                 1.0903,              0.0008515,              0.0008515,              0.0008515
