                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3557,                 4.4401,                  1.196,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,                  0.001,                  0.001,                  0.001
                      2,                 1.2884,                 4.4074,                 1.2843,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,              0.0009901,              0.0009901,              0.0009901
                      3,                 1.4039,                 4.2926,                 1.3021,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.4473,                 4.4691,                 1.2867,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1237,                 4.5456,                 1.0672,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.3136,                 4.4516,                 1.3538,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2741,                 4.0434,                 1.1057,                      0,                      0,                      0,                      0,                 1.0295,                 7.6469,                0.84486,              0.0009406,              0.0009406,              0.0009406
                      8,                  1.131,                 4.1068,                 1.1019,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1624,                  3.052,                 1.2129,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.2204,                 3.6005,                  1.291,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.0942,                 3.5288,                 1.1842,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,               0.000901,               0.000901,               0.000901
                     12,                 1.0926,                 3.0925,                 1.2161,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.2176,                 3.6432,                 1.3862,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.4912,                 3.5881,                 1.3507,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1074,                 2.9841,                 1.0529,                0.01333,                      1,                0.01605,                0.00321,                 1.4459,                 7.7512,                 1.0923,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0606,                 3.2644,                  1.118,                0.01316,                      1,                 0.4975,                0.14925,                0.94904,                 7.2137,                0.80504,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.1815,                 2.2267,                 1.2699,                0.01316,                      1,                 0.4975,                0.14925,                0.94904,                 7.2137,                0.80504,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1487,                 3.7273,                  1.144,                0.01316,                      1,                 0.4975,                0.14925,                0.94904,                 7.2137,                0.80504,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0411,                  2.213,                 1.0461,                0.01316,                      1,                 0.4975,                0.14925,                0.94904,                 7.2137,                0.80504,              0.0008218,              0.0008218,              0.0008218
                     20,                0.90178,                 2.3598,                 1.1528,                0.01316,                      1,                 0.4975,                0.14925,                0.94904,                 7.2137,                0.80504,              0.0008119,              0.0008119,              0.0008119
