                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0695,                 3.9619,                 1.1514,                0.00247,                   0.75,                0.13071,                0.10202,                 1.1595,                  7.223,                0.76399,                  0.001,                  0.001,                  0.001
                      2,                   1.82,                  4.361,                 1.6449,                0.00247,                   0.75,                0.13071,                0.10202,                 1.1595,                  7.223,                0.76399,              0.0009901,              0.0009901,              0.0009901
                      3,                 1.1989,                 4.0863,                 1.2833,                0.00247,                   0.75,                0.13071,                0.10202,                 1.1595,                  7.223,                0.76399,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.4311,                 4.3493,                 1.6089,                0.00247,                   0.75,                0.13071,                0.10202,                 1.1595,                  7.223,                0.76399,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3802,                 4.3588,                 1.4104,                0.00247,                   0.75,                0.13071,                0.10202,                 1.1595,                  7.223,                0.76399,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.5708,                 4.1901,                 1.5527,                0.00247,                   0.75,                0.13071,                0.10202,                 1.1595,                  7.223,                0.76399,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1925,                 4.0787,                 1.2791,                0.00247,                   0.75,                0.13071,                0.10202,                 1.1595,                  7.223,                0.76399,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.3469,                 3.9312,                 1.3963,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.3806,                 3.7301,                 1.4858,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.1163,                 3.7579,                 1.6319,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.4553,                 3.8285,                 1.4908,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,               0.000901,               0.000901,               0.000901
                     12,                 1.5496,                 3.8721,                 1.4674,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.7863,                  3.547,                 1.6659,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5786,                 3.7927,                 1.4629,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.6703,                  3.519,                 1.5753,                0.00335,                      1,                0.65741,                0.22476,                 1.3154,                 7.0508,                0.90754,              0.0008614,              0.0008614,              0.0008614
                     16,                  2.089,                 3.9841,                 1.9382,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.2731,                 2.9288,                 1.1441,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1477,                 2.7642,                 1.0129,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.3733,                 2.4513,                 1.2571,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.1928,                 2.9047,                 1.1641,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.6392,                 4.6258,                   1.76,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,               0.000802,               0.000802,               0.000802
                     22,                 1.3416,                 3.0746,                  1.159,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.1974,                 2.5214,                 1.0825,                0.00337,                      1,                0.74625,                0.36295,                 1.1084,                 6.2857,                0.71931,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.1905,                 3.2752,                    1.4,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,              0.0007723,              0.0007723,              0.0007723
                     25,                0.97895,                 2.6883,                 1.0262,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.1799,                 2.3346,                 1.1215,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.0972,                  2.989,                 1.0349,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.2485,                 2.2589,                 1.1138,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,              0.0007327,              0.0007327,              0.0007327
                     29,                  1.279,                 2.6091,                 1.1475,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.2105,                 2.7698,                 1.2193,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.1924,                 2.0604,                 1.0881,                0.00359,                      1,                0.70479,                0.43531,                 1.0814,                 5.8142,                0.72742,               0.000703,               0.000703,               0.000703
                     32,                 1.1573,                 2.1021,                 1.1357,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006931,              0.0006931,              0.0006931
                     33,                0.84734,                 2.3624,                0.98468,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006832,              0.0006832,              0.0006832
                     34,                0.79044,                 2.7774,                0.97192,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006733,              0.0006733,              0.0006733
                     35,                 0.8728,                 2.4472,                 1.0212,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006634,              0.0006634,              0.0006634
                     36,                0.93684,                 2.1984,                 0.9425,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006535,              0.0006535,              0.0006535
                     37,                0.87504,                  2.806,                0.96518,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006436,              0.0006436,              0.0006436
                     38,                 0.8586,                  2.433,                 0.9848,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006337,              0.0006337,              0.0006337
                     39,                  1.217,                 2.8036,                 1.2035,                0.00372,                      1,                0.62825,                0.36388,                 1.0466,                 5.6519,                0.67699,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.0485,                 2.3559,                  1.042,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,              0.0006139,              0.0006139,              0.0006139
                     41,                0.67741,                 1.8846,                0.89796,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,               0.000604,               0.000604,               0.000604
                     42,                 1.0187,                 3.0099,                0.97774,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,              0.0005941,              0.0005941,              0.0005941
                     43,                0.79386,                 1.9608,                0.85761,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,              0.0005842,              0.0005842,              0.0005842
                     44,                0.73694,                  2.148,                0.92152,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,              0.0005743,              0.0005743,              0.0005743
                     45,                0.99154,                 2.6441,                0.97461,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,              0.0005644,              0.0005644,              0.0005644
                     46,                0.83333,                 2.4768,                0.97112,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,              0.0005545,              0.0005545,              0.0005545
                     47,                0.85205,                 2.0623,                0.99981,                0.00367,                      1,                0.74625,                0.41044,                0.76703,                 5.7438,                0.63355,              0.0005446,              0.0005446,              0.0005446
                     48,                0.86519,                 2.8404,                0.87182,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,              0.0005347,              0.0005347,              0.0005347
                     49,                0.90458,                  2.324,                 1.0289,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,              0.0005248,              0.0005248,              0.0005248
                     50,                0.78578,                 2.1059,                0.90858,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,              0.0005149,              0.0005149,              0.0005149
                     51,                0.86921,                 1.6476,                 1.0513,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,               0.000505,               0.000505,               0.000505
                     52,                0.79053,                 2.1239,                0.93071,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,              0.0004951,              0.0004951,              0.0004951
                     53,                0.55891,                 1.9583,                0.88788,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,              0.0004852,              0.0004852,              0.0004852
                     54,                0.74452,                 1.8727,                0.90484,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,              0.0004753,              0.0004753,              0.0004753
                     55,                0.73258,                 1.7085,                0.89038,                0.00374,                      1,                0.74625,                0.41044,                0.62069,                 5.6147,                 0.6213,              0.0004654,              0.0004654,              0.0004654
                     56,                0.67858,                 1.7707,                0.94972,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,              0.0004555,              0.0004555,              0.0004555
                     57,                0.78435,                 2.0885,                 0.9945,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,              0.0004456,              0.0004456,              0.0004456
                     58,                 0.9088,                 1.7808,                  1.119,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.0488,                 2.0287,                 1.0761,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,              0.0004258,              0.0004258,              0.0004258
                     60,                0.87717,                 2.7351,                  0.959,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,              0.0004159,              0.0004159,              0.0004159
                     61,                0.64512,                 1.8188,                0.82151,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,               0.000406,               0.000406,               0.000406
                     62,                0.64135,                 1.5082,                0.86413,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,              0.0003961,              0.0003961,              0.0003961
                     63,                0.55439,                 1.7917,                0.84724,                0.91719,                   0.25,                0.68406,                0.28606,                0.64658,                 5.1146,                0.61294,              0.0003862,              0.0003862,              0.0003862
                     64,                0.85083,                 2.1179,                0.95653,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,              0.0003763,              0.0003763,              0.0003763
                     65,                0.70443,                 1.8914,                0.97064,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,              0.0003664,              0.0003664,              0.0003664
                     66,                0.64698,                 1.7405,                 1.0045,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,              0.0003565,              0.0003565,              0.0003565
                     67,                0.61507,                 1.3701,                0.81378,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,              0.0003466,              0.0003466,              0.0003466
                     68,                0.79001,                 2.7694,                0.98896,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,              0.0003367,              0.0003367,              0.0003367
                     69,                0.91554,                 2.0134,                 1.0019,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,              0.0003268,              0.0003268,              0.0003268
                     70,                0.61606,                 1.6898,                0.86172,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,              0.0003169,              0.0003169,              0.0003169
                     71,                0.96251,                 2.4235,                0.98813,                0.88391,                   0.25,                0.87062,                0.37313,                0.68234,                 4.8198,                0.59635,               0.000307,               0.000307,               0.000307
                     72,                0.59544,                 1.3379,                0.89934,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002971,              0.0002971,              0.0002971
                     73,                0.62929,                 1.5168,                0.89415,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002872,              0.0002872,              0.0002872
                     74,                0.63097,                 1.6237,                0.91626,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002773,              0.0002773,              0.0002773
                     75,                0.59984,                 1.8537,                0.92457,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002674,              0.0002674,              0.0002674
                     76,                 0.6981,                 1.7443,                 1.0069,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002575,              0.0002575,              0.0002575
                     77,                 0.6654,                 1.4267,                0.88883,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002476,              0.0002476,              0.0002476
                     78,                0.89988,                 1.8757,                0.89286,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002377,              0.0002377,              0.0002377
                     79,                0.69792,                   1.77,                0.87924,                0.85817,                    0.5,                0.87062,                0.38556,                0.62877,                 4.4638,                0.58661,              0.0002278,              0.0002278,              0.0002278
                     80,                0.74239,                 1.4525,                 1.0125,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,              0.0002179,              0.0002179,              0.0002179
                     81,                 0.7438,                 1.3714,                0.95277,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,               0.000208,               0.000208,               0.000208
                     82,                0.61645,                 1.2298,                0.86975,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,              0.0001981,              0.0001981,              0.0001981
                     83,                0.63814,                 1.5732,                0.92728,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,              0.0001882,              0.0001882,              0.0001882
                     84,                0.81389,                  1.868,                0.94581,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,              0.0001783,              0.0001783,              0.0001783
                     85,                0.58696,                 1.7568,                0.92264,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,              0.0001684,              0.0001684,              0.0001684
                     86,                0.76106,                  1.688,                0.91566,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,              0.0001585,              0.0001585,              0.0001585
                     87,                0.83499,                  1.673,                 0.9737,                0.77384,                   0.75,                0.87062,                  0.398,                0.58027,                 4.1758,                0.58707,              0.0001486,              0.0001486,              0.0001486
                     88,                0.94321,                 2.0727,                 1.0486,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,              0.0001387,              0.0001387,              0.0001387
                     89,                0.65264,                 1.9189,                  1.024,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,              0.0001288,              0.0001288,              0.0001288
                     90,                0.62081,                 1.3685,                0.80389,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,              0.0001189,              0.0001189,              0.0001189
                     91,                0.41295,                 1.9166,                0.88111,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,               0.000109,               0.000109,               0.000109
                     92,                0.56635,                 2.4174,                0.77759,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.46315,                 1.7415,                0.89413,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.62909,                 2.0178,                0.77387,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.50692,                 1.8566,                0.90205,                0.70669,                   0.75,                0.87062,                  0.398,                0.53966,                 3.7962,                0.58558,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 0.3761,                 1.8767,                0.87653,                0.46464,                0.75857,                0.87062,                  0.398,                0.51241,                 3.3498,                0.57994,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.54638,                 2.3142,                0.95268,                0.46464,                0.75857,                0.87062,                  0.398,                0.51241,                 3.3498,                0.57994,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 0.5127,                 1.9738,                 0.7951,                0.46464,                0.75857,                0.87062,                  0.398,                0.51241,                 3.3498,                0.57994,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.50367,                 1.9442,                0.82786,                0.46464,                0.75857,                0.87062,                  0.398,                0.51241,                 3.3498,                0.57994,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.47611,                 2.0261,                 0.8642,                0.46464,                0.75857,                0.87062,                  0.398,                0.51241,                 3.3498,                0.57994,               1.99e-05,               1.99e-05,               1.99e-05
