                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1562,                   4.14,                  1.247,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,                  0.001,                  0.001,                  0.001
                      2,                 1.3386,                 4.4046,                 1.3168,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,               0.000802,               0.000802,               0.000802
                      3,                 1.2384,                 4.0596,                 1.2518,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,               0.000604,               0.000604,               0.000604
                      4,                 1.3949,                 4.1646,                  1.375,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,               0.000406,               0.000406,               0.000406
                      5,                 1.4818,                 4.3219,                 1.4375,                0.01282,                      1,                0.05853,                0.04097,                 1.1209,                 7.2858,                0.79921,               0.000208,               0.000208,               0.000208
